No,Termo de busca,Plataforma,Tipo de modificador,Modificador,Palavra-chave,Idioma,País,Volume,CPC (US$)
48,"Celular Samsung","Google","Ordem alfabética","d","celular samsung de 256 gb","pt","br","390","0.29"
49,"Celular Samsung","Google","Ordem alfabética","d","celular samsung dual chip","pt","br","0","-"
50,"Celular Samsung","Google","Ordem alfabética","d","celular samsung da linha s","pt","br","0","-"
51,"Celular Samsung","Google","Ordem alfabética","d","celular samsung de botão","pt","br","0","-"
52,"Celular Samsung","Google","Ordem alfabética","d","celular samsung duas câmeras","pt","br","0","-"
53,"Celular Samsung","Google","Ordem alfabética","d","celular samsung desligando sozinho","pt","br","0","-"
54,"Celular Samsung","Google","Ordem alfabética","d","celular samsung de três câmeras","pt","br","0","-"
55,"Celular Samsung","Google","Ordem alfabética","d","celular samsung demorando para carregar","pt","br","0","-"
56,"Celular Samsung","Google","Ordem alfabética","d","celular samsung da linha a","pt","br","0","-"
57,"Celular Samsung","Google","Ordem alfabética","d","celular samsung de 1000 reais","pt","br","0","-"
58,"Celular Samsung","Google","Ordem alfabética","d","celular samsung de flip","pt","br","0","-"
59,"Celular Samsung","Google","Ordem alfabética","d","celular samsung de entrada","pt","br","0","-"
60,"Celular Samsung","Google","Ordem alfabética","d","celular samsung de 512 gb","pt","br","0","-"
61,"Celular Samsung","Google","Ordem alfabética","e","celular samsung em promoção","pt","br","2.9K","0.5"
62,"Celular Samsung","Google","Ordem alfabética","e","celular samsung em oferta","pt","br","0","-"
63,"Celular Samsung","Google","Ordem alfabética","e","celular samsung esquentando muito","pt","br","0","-"
64,"Celular Samsung","Google","Ordem alfabética","e","celular samsung edge","pt","br","0","-"
65,"Celular Samsung","Google","Ordem alfabética","e","celular samsung esquentando","pt","br","0","-"
66,"Celular Samsung","Google","Ordem alfabética","e","celular samsung em conta","pt","br","0","-"
67,"Celular Samsung","Google","Ordem alfabética","e","celular samsung em promoção hoje","pt","br","0","-"
68,"Celular Samsung","Google","Ordem alfabética","e","celular samsung esquentando o que fazer","pt","br","0","-"
69,"Celular Samsung","Google","Ordem alfabética","e","celular samsung esquentando muito e descarregando rápido","pt","br","0","-"
70,"Celular Samsung","Google","Ordem alfabética","e","celular samsung em modo de segurança","pt","br","0","-"
71,"Celular Samsung","Google","Ordem alfabética","e","celular samsung em conta e bom","pt","br","0","-"
72,"Celular Samsung","Google","Ordem alfabética","e","celular samsung esquentando o que pode ser","pt","br","0","-"
73,"Celular Samsung","Google","Ordem alfabética","e","celular samsung esta com virus o que fazer","pt","br","0","-"
74,"Celular Samsung","Google","Ordem alfabética","e","celular samsung e motorola qual o melhor","pt","br","0","-"
75,"Celular Samsung","Google","Ordem alfabética","e","celular samsung esqueci a senha de bloqueio","pt","br","0","-"
76,"Celular Samsung","Google","Ordem alfabética","f","celular samsung flip","pt","br","2.4K","0.2"
77,"Celular Samsung","Google","Ordem alfabética","f","celular samsung flip 7","pt","br","590","0.23"
78,"Celular Samsung","Google","Ordem alfabética","f","celular samsung fe","pt","br","480","0.28"
79,"Celular Samsung","Google","Ordem alfabética","f","celular samsung flip antigo","pt","br","0","-"
80,"Celular Samsung","Google","Ordem alfabética","f","celular samsung flip 5","pt","br","0","-"
81,"Celular Samsung","Google","Ordem alfabética","f","celular samsung fe s24","pt","br","0","-"
82,"Celular Samsung","Google","Ordem alfabética","f","celular samsung fold","pt","br","0","-"
83,"Celular Samsung","Google","Ordem alfabética","f","celular samsung flip 6","pt","br","0","-"
84,"Celular Samsung","Google","Ordem alfabética","f","celular samsung ficou preto e branco","pt","br","0","-"
85,"Celular Samsung","Google","Ordem alfabética","f","celular samsung flip novo","pt","br","0","-"
86,"Celular Samsung","Google","Ordem alfabética","f","celular samsung fe20","pt","br","0","-"
87,"Celular Samsung","Google","Ordem alfabética","f","celular samsung fe s25","pt","br","0","-"
88,"Celular Samsung","Google","Ordem alfabética","f","celular samsung fe s20","pt","br","0","-"
89,"Celular Samsung","Google","Ordem alfabética","f","celular samsung fold 7","pt","br","0","-"
90,"Celular Samsung","Google","Ordem alfabética","f","celular samsung fe 25","pt","br","0","-"
91,"Celular Samsung","Google","Ordem alfabética","g","celular samsung galaxy","pt","br","14.8K","0.39"
92,"Celular Samsung","Google","Ordem alfabética","g","celular samsung galaxy a36 5g 256gb 8gb ram","pt","br","390","0.8"
93,"Celular Samsung","Google","Ordem alfabética","g","celular samsung galaxy s25 ultra sm-s938b dual chip 512gb 5g","pt","br","140","0.19"
94,"Celular Samsung","Google","Ordem alfabética","g","celular samsung galaxy a07 256gb 8gb câmera 50mp verde","pt","br","0","-"
95,"Celular Samsung","Google","Ordem alfabética","g","celular samsung galaxy s26 ultra 5g","pt","br","0","-"
96,"Celular Samsung","Google","Ordem alfabética","g","celular samsung galaxy s25+ 5g 512gb 12gb ram câmera tripla de 50+12+10 tela grande de 6.7","pt","br","0","-"
97,"Celular Samsung","Google","Ordem alfabética","g","celular samsung galaxy a07 tela 6.7 128gb 4g 90hz câmera dupla 50mp preto","pt","br","0","-"
98,"Celular Samsung","Google","Ordem alfabética","g","celular samsung galaxy a07 256gb 8gb câmera 50mp tela 6.7 proteção ip54 processador 6nm - preto","pt","br","0","-"
99,"Celular Samsung","Google","Ordem alfabética","g","celular samsung galaxy a07 128gb 4gb câm. 50mp tela 6.7 - preto","pt","br","0","-"
100,"Celular Samsung","Google","Ordem alfabética","g","celular samsung galaxy a36 5g 256gb 8gb ram recursos ai (preto)","pt","br","0","-"
101,"Celular Samsung","Google","Ordem alfabética","g","celular samsung galaxy a57 5g 8gb ram","pt","br","0","-"
102,"Celular Samsung","Google","Ordem alfabética","g","celular samsung galaxy a17 com ia 256gb 8gb ram câm de 50mp tela de 6.7 nfc ip54 - preto","pt","br","0","-"
103,"Celular Samsung","Google","Ordem alfabética","g","celular samsung galaxy a17 4g tela 6.7 128gb super amoled câmera tripla 50mp preto","pt","br","0","-"
104,"Celular Samsung","Google","Ordem alfabética","g","celular samsung galaxy a36 5g sm-a366e dual sim de 128gb 8gb ram de 6.7 50+8+5mp 12mp","pt","br","0","-"
105,"Celular Samsung","Google","Ordem alfabética","g","celular samsung galaxy s25 fe 5g 128gb 8gb câmera tripla - azul marinho","pt","br","0","-"
106,"Celular Samsung","Google","Ordem alfabética","h","celular samsung havan","pt","br","720","0.08"
107,"Celular Samsung","Google","Ordem alfabética","h","celular samsung retirar hoje","pt","br","90","0.31"
108,"Celular Samsung","Google","Ordem alfabética","h","celular samsung hello kitty","pt","br","50","-"
109,"Celular Samsung","Google","Ordem alfabética","h","celular samsung havan promoção","pt","br","0","-"
110,"Celular Samsung","Google","Ordem alfabética","h","celular samsung na havan preço","pt","br","0","-"
111,"Celular Samsung","Google","Ordem alfabética","h","melhor celular samsung hoje","pt","br","0","-"
112,"Celular Samsung","Google","Ordem alfabética","h","celular samsung toda hora aparece propaganda","pt","br","0","-"
113,"Celular Samsung","Google","Ordem alfabética","h","celular samsung holográfico","pt","br","0","-"
114,"Celular Samsung","Google","Ordem alfabética","h","celular samsung 256gb havan","pt","br","0","-"
115,"Celular Samsung","Google","Ordem alfabética","h","celular samsung health","pt","br","0","-"
116,"Celular Samsung","Google","Ordem alfabética","h","celular samsung a56 havan","pt","br","0","-"
117,"Celular Samsung","Google","Ordem alfabética","h","celular samsung hard reset","pt","br","0","-"
118,"Celular Samsung","Google","Ordem alfabética","h","celular samsung hoje","pt","br","0","-"
119,"Celular Samsung","Google","Ordem alfabética","h","celular samsung hackeado","pt","br","0","-"
120,"Celular Samsung","Google","Ordem alfabética","h","celular samsung hierarquia","pt","br","0","-"
121,"Celular Samsung","Google","Ordem alfabética","i","celular samsung idoso","pt","br","720","0.19"
122,"Celular Samsung","Google","Ordem alfabética","i","celular samsung intermediário 2025","pt","br","590","0.53"
123,"Celular Samsung","Google","Ordem alfabética","i","celular samsung intermediário","pt","br","320","0.34"
124,"Celular Samsung","Google","Ordem alfabética","i","celular samsung intermediário 2026","pt","br","0","-"
125,"Celular Samsung","Google","Ordem alfabética","i","celular samsung iphone","pt","br","0","-"
126,"Celular Samsung","Google","Ordem alfabética","i","celular samsung igual iphone","pt","br","0","-"
127,"Celular Samsung","Google","Ordem alfabética","i","celular samsung indestrutível","pt","br","0","-"
128,"Celular Samsung","Google","Ordem alfabética","i","celular samsung ip68","pt","br","0","-"
129,"Celular Samsung","Google","Ordem alfabética","i","celular samsung indução","pt","br","0","-"
130,"Celular Samsung","Google","Ordem alfabética","i","celular samsung intermediário bom","pt","br","0","-"
131,"Celular Samsung","Google","Ordem alfabética","i","celular samsung intermediário com melhor câmera","pt","br","0","-"
132,"Celular Samsung","Google","Ordem alfabética","i","celular samsung ip67","pt","br","0","-"
133,"Celular Samsung","Google","Ordem alfabética","i","celular samsung intermediário premium","pt","br","0","-"
134,"Celular Samsung","Google","Ordem alfabética","i","celular samsung ideal para idoso","pt","br","0","-"
135,"Celular Samsung","Google","Ordem alfabética","i","celular samsung intermediário melhor custo benefício","pt","br","0","-"
136,"Celular Samsung","Google","Ordem alfabética","j","celular samsung j5 prime","pt","br","3.6K","0.06"
137,"Celular Samsung","Google","Ordem alfabética","j","celular samsung j5","pt","br","1.0K","0.07"
138,"Celular Samsung","Google","Ordem alfabética","j","celular samsung j7 prime","pt","br","1.0K","0.08"
139,"Celular Samsung","Google","Ordem alfabética","j","celular samsung j7","pt","br","0","-"
140,"Celular Samsung","Google","Ordem alfabética","j","celular samsung j2","pt","br","0","-"
141,"Celular Samsung","Google","Ordem alfabética","j","celular samsung j8","pt","br","0","-"
142,"Celular Samsung","Google","Ordem alfabética","j","celular samsung j4","pt","br","0","-"
143,"Celular Samsung","Google","Ordem alfabética","j","celular samsung j6","pt","br","0","-"
144,"Celular Samsung","Google","Ordem alfabética","j","celular samsung j1","pt","br","0","-"
145,"Celular Samsung","Google","Ordem alfabética","j","celular samsung j2 prime","pt","br","0","-"
146,"Celular Samsung","Google","Ordem alfabética","j","celular samsung j1 mini","pt","br","0","-"
147,"Celular Samsung","Google","Ordem alfabética","j","celular samsung j5 novo","pt","br","0","-"
148,"Celular Samsung","Google","Ordem alfabética","j","celular samsung j4 core","pt","br","0","-"
149,"Celular Samsung","Google","Ordem alfabética","j","celular samsung j7 pro","pt","br","0","-"
150,"Celular Samsung","Google","Ordem alfabética","j","celular samsung j3","pt","br","0","-"
151,"Celular Samsung","Google","Ordem alfabética","k","celular samsung kabum","pt","br","170","0.23"
152,"Celular Samsung","Google","Ordem alfabética","k","celular samsung koerich","pt","br","70","0.06"
153,"Celular Samsung","Google","Ordem alfabética","k","celular samsung k10","pt","br","50","0.1"
154,"Celular Samsung","Google","Ordem alfabética","k","celular samsung kalunga","pt","br","0","-"
155,"Celular Samsung","Google","Ordem alfabética","k","celular samsung k9","pt","br","0","-"
156,"Celular Samsung","Google","Ordem alfabética","k","celular samsung k12","pt","br","0","-"
157,"Celular Samsung","Google","Ordem alfabética","k","celular samsung keystone 2","pt","br","0","-"
158,"Celular Samsung","Google","Ordem alfabética","k","celular samsung k22","pt","br","0","-"
159,"Celular Samsung","Google","Ordem alfabética","k","celular samsung keystone","pt","br","0","-"
160,"Celular Samsung","Google","Ordem alfabética","k","celular samsung k11","pt","br","0","-"
161,"Celular Samsung","Google","Ordem alfabética","k","celular samsung k41s","pt","br","0","-"
162,"Celular Samsung","Google","Ordem alfabética","k","celular samsung k52","pt","br","0","-"
163,"Celular Samsung","Google","Ordem alfabética","k","celular samsung knox","pt","br","0","-"
164,"Celular Samsung","Google","Ordem alfabética","k","celular samsung keystone 3","pt","br","0","-"
165,"Celular Samsung","Google","Ordem alfabética","k","celular samsung kids","pt","br","0","-"
166,"Celular Samsung","Google","Ordem alfabética","l","celular samsung lançamento","pt","br","9.9K","0.19"
167,"Celular Samsung","Google","Ordem alfabética","l","celular samsung linha s","pt","br","4.4K","0.24"
168,"Celular Samsung","Google","Ordem alfabética","l","celular samsung lojas cem","pt","br","2.4K","0.12"
169,"Celular Samsung","Google","Ordem alfabética","l","celular samsung lojas americanas","pt","br","0","-"
170,"Celular Samsung","Google","Ordem alfabética","l","celular samsung linha a","pt","br","0","-"
171,"Celular Samsung","Google","Ordem alfabética","l","celular samsung lançamento 2026","pt","br","0","-"
172,"Celular Samsung","Google","Ordem alfabética","l","celular samsung linha m","pt","br","0","-"
173,"Celular Samsung","Google","Ordem alfabética","l","celular samsung linha a qual o melhor","pt","br","0","-"
174,"Celular Samsung","Google","Ordem alfabética","l","celular samsung lento o que fazer","pt","br","0","-"
175,"Celular Samsung","Google","Ordem alfabética","l","celular samsung linha s qual o melhor","pt","br","0","-"
176,"Celular Samsung","Google","Ordem alfabética","l","celular samsung linha s mais barato","pt","br","0","-"
177,"Celular Samsung","Google","Ordem alfabética","l","celular samsung linha a mais recente","pt","br","0","-"
178,"Celular Samsung","Google","Ordem alfabética","l","celular samsung linha m qual o melhor","pt","br","0","-"
179,"Celular Samsung","Google","Ordem alfabética","l","celular samsung lançamento 2026 linha a","pt","br","0","-"
180,"Celular Samsung","Google","Ordem alfabética","l","celular samsung linha a melhor custo beneficio","pt","br","0","-"
181,"Celular Samsung","Google","Ordem alfabética","m","celular samsung melhor","pt","br","27.1K","0.06"
182,"Celular Samsung","Google","Ordem alfabética","m","celular samsung magazine luiza","pt","br","3.6K","0.19"
183,"Celular Samsung","Google","Ordem alfabética","m","celular samsung mais barato","pt","br","3.6K","0.33"
184,"Celular Samsung","Google","Ordem alfabética","m","celular samsung melhor custo benefício","pt","br","0","-"
185,"Celular Samsung","Google","Ordem alfabética","m","celular samsung mercado livre","pt","br","0","-"
186,"Celular Samsung","Google","Ordem alfabética","m","celular samsung m55","pt","br","0","-"
187,"Celular Samsung","Google","Ordem alfabética","m","celular samsung mais caro","pt","br","0","-"
188,"Celular Samsung","Google","Ordem alfabética","m","celular samsung m53","pt","br","0","-"
189,"Celular Samsung","Google","Ordem alfabética","m","celular samsung mais novo","pt","br","0","-"
190,"Celular Samsung","Google","Ordem alfabética","m","celular samsung m54","pt","br","0","-"
191,"Celular Samsung","Google","Ordem alfabética","m","celular samsung m23","pt","br","0","-"
192,"Celular Samsung","Google","Ordem alfabética","m","celular samsung modelo novo","pt","br","0","-"
193,"Celular Samsung","Google","Ordem alfabética","m","celular samsung mais barato e bom","pt","br","0","-"
194,"Celular Samsung","Google","Ordem alfabética","m","celular samsung mostra que está carregando mas não carrega","pt","br","0","-"
195,"Celular Samsung","Google","Ordem alfabética","m","celular samsung melhor custo benefício 2026","pt","br","0","-"
196,"Celular Samsung","Google","Ordem alfabética","n","celular samsung novo","pt","br","12.1K","0.29"
197,"Celular Samsung","Google","Ordem alfabética","n","celular samsung na magazine luiza","pt","br","5.4K","0.13"
198,"Celular Samsung","Google","Ordem alfabética","n","celular samsung na promoção","pt","br","4.4K","0.4"
199,"Celular Samsung","Google","Ordem alfabética","n","celular samsung não carrega","pt","br","0","-"
200,"Celular Samsung","Google","Ordem alfabética","n","celular samsung não liga","pt","br","0","-"
201,"Celular Samsung","Google","Ordem alfabética","n","celular samsung no mercadolivre","pt","br","0","-"
202,"Celular Samsung","Google","Ordem alfabética","n","celular samsung note","pt","br","0","-"
203,"Celular Samsung","Google","Ordem alfabética","n","celular samsung nas casas bahia","pt","br","0","-"
204,"Celular Samsung","Google","Ordem alfabética","n","celular samsung nfc","pt","br","0","-"
205,"Celular Samsung","Google","Ordem alfabética","n","celular samsung novo lançamento","pt","br","0","-"
206,"Celular Samsung","Google","Ordem alfabética","n","celular samsung não liga tela preta","pt","br","0","-"
207,"Celular Samsung","Google","Ordem alfabética","n","celular samsung note 20 ultra","pt","br","0","-"
208,"Celular Samsung","Google","Ordem alfabética","n","celular samsung na shopee","pt","br","0","-"
209,"Celular Samsung","Google","Ordem alfabética","n","celular samsung não carrega o que fazer","pt","br","0","-"
210,"Celular Samsung","Google","Ordem alfabética","n","celular samsung não carrega nem liga","pt","br","0","-"
211,"Celular Samsung","Google","Ordem alfabética","o","celular samsung o melhor","pt","br","12.1K","0.14"
212,"Celular Samsung","Google","Ordem alfabética","o","celular samsung o mais novo","pt","br","720","0.24"
213,"Celular Samsung","Google","Ordem alfabética","o","celular samsung oferta","pt","br","720","0.26"
214,"Celular Samsung","Google","Ordem alfabética","o","celular samsung ou motorola","pt","br","0","-"
215,"Celular Samsung","Google","Ordem alfabética","o","celular samsung olx","pt","br","0","-"
216,"Celular Samsung","Google","Ordem alfabética","o","celular samsung olho azul","pt","br","0","-"
217,"Celular Samsung","Google","Ordem alfabética","o","celular samsung ou xiaomi","pt","br","0","-"
218,"Celular Samsung","Google","Ordem alfabética","o","celular samsung original","pt","br","0","-"
219,"Celular Samsung","Google","Ordem alfabética","o","celular samsung ou motorola qual o melhor","pt","br","0","-"
220,"Celular Samsung","Google","Ordem alfabética","o","celular samsung olho azul antigo","pt","br","0","-"
221,"Celular Samsung","Google","Ordem alfabética","o","celular samsung o novo","pt","br","0","-"
222,"Celular Samsung","Google","Ordem alfabética","o","celular samsung otimo custo beneficio","pt","br","0","-"
223,"Celular Samsung","Google","Ordem alfabética","o","celular samsung ou iphone","pt","br","0","-"
224,"Celular Samsung","Google","Ordem alfabética","o","celular samsung oppo","pt","br","0","-"
225,"Celular Samsung","Google","Ordem alfabética","o","celular samsung o melhor 2026","pt","br","0","-"
226,"Celular Samsung","Google","Ordem alfabética","p","celular samsung preço","pt","br","12.1K","0.16"
227,"Celular Samsung","Google","Ordem alfabética","p","celular samsung promoção","pt","br","9.9K","0.35"
228,"Celular Samsung","Google","Ordem alfabética","p","celular samsung pequeno","pt","br","2.9K","0.18"
229,"Celular Samsung","Google","Ordem alfabética","p","celular samsung pocket","pt","br","0","-"
230,"Celular Samsung","Google","Ordem alfabética","p","celular samsung promoção magazine luiza","pt","br","0","-"
231,"Celular Samsung","Google","Ordem alfabética","p","celular samsung para idoso","pt","br","0","-"
232,"Celular Samsung","Google","Ordem alfabética","p","celular samsung para jogos","pt","br","0","-"
233,"Celular Samsung","Google","Ordem alfabética","p","celular samsung pequeno antigo","pt","br","0","-"
234,"Celular Samsung","Google","Ordem alfabética","p","celular samsung pequeno novo","pt","br","0","-"
235,"Celular Samsung","Google","Ordem alfabética","p","celular samsung piscando a tela e não liga","pt","br","0","-"
236,"Celular Samsung","Google","Ordem alfabética","p","celular samsung promoção dia das mães","pt","br","0","-"
237,"Celular Samsung","Google","Ordem alfabética","p","celular samsung parou de funcionar o touch","pt","br","0","-"
238,"Celular Samsung","Google","Ordem alfabética","p","celular samsung parou de carregar do nada","pt","br","0","-"
239,"Celular Samsung","Google","Ordem alfabética","p","celular samsung pedindo senha de 4 digitos","pt","br","0","-"
240,"Celular Samsung","Google","Ordem alfabética","p","celular samsung para comprar em 2026","pt","br","0","-"
241,"Celular Samsung","Google","Ordem alfabética","q","celular samsung que dobra","pt","br","2.4K","0.11"
242,"Celular Samsung","Google","Ordem alfabética","q","celular samsung que abre e fecha","pt","br","1.0K","0.11"
243,"Celular Samsung","Google","Ordem alfabética","q","celular samsung que dobra no meio","pt","br","480","0.12"
244,"Celular Samsung","Google","Ordem alfabética","q","celular samsung quadrado","pt","br","0","-"
245,"Celular Samsung","Google","Ordem alfabética","q","celular samsung que carrega por indução","pt","br","0","-"
246,"Celular Samsung","Google","Ordem alfabética","q","celular samsung que parece iphone","pt","br","0","-"
247,"Celular Samsung","Google","Ordem alfabética","q","celular samsung qual o melhor custo beneficio","pt","br","0","-"
248,"Celular Samsung","Google","Ordem alfabética","q","celular samsung que abre no meio","pt","br","0","-"
249,"Celular Samsung","Google","Ordem alfabética","q","celular samsung que fecha no meio","pt","br","0","-"
250,"Celular Samsung","Google","Ordem alfabética","q","celular samsung qual é o melhor","pt","br","0","-"
251,"Celular Samsung","Google","Ordem alfabética","q","celular samsung que vem com caneta","pt","br","0","-"
252,"Celular Samsung","Google","Ordem alfabética","q","celular samsung qual o melhor da linha a","pt","br","0","-"
253,"Celular Samsung","Google","Ordem alfabética","q","celular samsung que seja bom e barato","pt","br","0","-"
254,"Celular Samsung","Google","Ordem alfabética","q","celular samsung qual o mais atual","pt","br","0","-"
255,"Celular Samsung","Google","Ordem alfabética","q","celular samsung que vale a pena em 2026","pt","br","0","-"
256,"Celular Samsung","Google","Ordem alfabética","r","celular samsung rosa","pt","br","1.9K","0.16"
257,"Celular Samsung","Google","Ordem alfabética","r","celular samsung roxo","pt","br","590","0.17"
258,"Celular Samsung","Google","Ordem alfabética","r","celular samsung rosa antigo","pt","br","480","0.11"
259,"Celular Samsung","Google","Ordem alfabética","r","celular samsung retirar na loja","pt","br","0","-"
260,"Celular Samsung","Google","Ordem alfabética","r","celular samsung reiniciando sozinho","pt","br","0","-"
261,"Celular Samsung","Google","Ordem alfabética","r","celular samsung resistente a agua","pt","br","0","-"
262,"Celular Samsung","Google","Ordem alfabética","r","celular samsung riachuelo","pt","br","0","-"
263,"Celular Samsung","Google","Ordem alfabética","r","celular samsung redmi","pt","br","0","-"
264,"Celular Samsung","Google","Ordem alfabética","r","celular samsung resistente à água e queda","pt","br","0","-"
265,"Celular Samsung","Google","Ordem alfabética","r","celular samsung resistente a queda","pt","br","0","-"
266,"Celular Samsung","Google","Ordem alfabética","r","celular samsung recente","pt","br","0","-"
267,"Celular Samsung","Google","Ordem alfabética","r","celular samsung retirar hoje","pt","br","0","-"
268,"Celular Samsung","Google","Ordem alfabética","r","celular samsung roxo antigo","pt","br","0","-"
269,"Celular Samsung","Google","Ordem alfabética","r","celular samsung recondicionado","pt","br","0","-"
270,"Celular Samsung","Google","Ordem alfabética","r","celular samsung retirar na loja hoje","pt","br","0","-"
271,"Celular Samsung","Google","Ordem alfabética","s","celular samsung s23","pt","br","33.1K","0.22"
272,"Celular Samsung","Google","Ordem alfabética","s","celular samsung s24","pt","br","33.1K","0.3"
273,"Celular Samsung","Google","Ordem alfabética","s","celular samsung s25","pt","br","22.2K","0.54"
274,"Celular Samsung","Google","Ordem alfabética","s","celular samsung s24 ultra","pt","br","0","-"
275,"Celular Samsung","Google","Ordem alfabética","s","celular samsung s25 ultra","pt","br","0","-"
276,"Celular Samsung","Google","Ordem alfabética","s","celular samsung s22","pt","br","0","-"
277,"Celular Samsung","Google","Ordem alfabética","s","celular samsung s23 ultra","pt","br","0","-"
278,"Celular Samsung","Google","Ordem alfabética","s","celular samsung s25 fe","pt","br","0","-"
279,"Celular Samsung","Google","Ordem alfabética","s","celular samsung s20","pt","br","0","-"
280,"Celular Samsung","Google","Ordem alfabética","s","celular samsung s24 fe","pt","br","0","-"
281,"Celular Samsung","Google","Ordem alfabética","s","celular samsung s21","pt","br","0","-"
282,"Celular Samsung","Google","Ordem alfabética","s","celular samsung s26 ultra","pt","br","0","-"
283,"Celular Samsung","Google","Ordem alfabética","s","celular samsung s26","pt","br","0","-"
284,"Celular Samsung","Google","Ordem alfabética","s","celular samsung s25 256gb","pt","br","0","-"
285,"Celular Samsung","Google","Ordem alfabética","s","celular samsung s25 fe 256gb","pt","br","0","-"
286,"Celular Samsung","Google","Ordem alfabética","t","celular samsung top de linha","pt","br","1.3K","0.22"
287,"Celular Samsung","Google","Ordem alfabética","t","celular samsung tela curva","pt","br","480","0.1"
